id,cast,crew
569094,"[{'cast_id': 587506, 'name': 'Shameik Moore', 'character': 'Miles Morales / Spider-Man (voice)'}, {'cast_id': 130640, 'name': 'Hailee Steinfeld', 'character': 'Gwen Stacy / Spider-Woman (voice)'}, {'cast_id': 543505, 'name': 'Jake Johnson', 'character': 'Peter B. Parker / Spider-Man (voice)'}, {'cast_id': 25072, 'name': 'Oscar Isaac', 'character': ""Miguel O'Hara / Spider-Man 2099 (voice)""}, {'cast_id': 1455336, 'name': 'Issa Rae', 'character': 'Jessica Drew / Spider-Woman (voice)'}]","[{'crew_id': 89596, 'name': 'Joaquim Dos Santos', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 1046497, 'name': 'Justin K. Thompson', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 2451598, 'name': 'Kemp Powers', 'department': 'Directing', 'job': 'Director'}]"
1020696,"[{'cast_id': 54479, 'name': 'Bailee Madison', 'character': 'Chloe'}, {'cast_id': 3035, 'name': ""Jerry O'Connell"", 'character': 'Coroner'}, {'cast_id': 2600646, 'name': 'Anthony Turpel', 'character': 'T.J.'}, {'cast_id': 1295493, 'name': 'Chris Butler', 'character': 'Sheriff'}, {'cast_id': 2359792, 'name': 'Chris Lee', 'character': 'Ross'}]","[{'crew_id': 27226, 'name': 'Patrick Lussier', 'department': 'Directing', 'job': 'Director'}]"
493529,"[{'cast_id': 62064, 'name': 'Chris Pine', 'character': 'Edgin Darvis'}, {'cast_id': 17647, 'name': 'Michelle Rodriguez', 'character': 'Holga Kilgore'}, {'cast_id': 1628687, 'name': 'Regé-Jean Page', 'character': 'Xenk Yendar'}, {'cast_id': 1029934, 'name': 'Justice Smith', 'character': 'Simon Aumar'}, {'cast_id': 1481238, 'name': 'Sophia Lillis', 'character': 'Doric'}]","[{'crew_id': 52935, 'name': 'John Francis Daley', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 1236679, 'name': 'Jonathan Goldstein', 'department': 'Directing', 'job': 'Director'}]"
1016121,"[{'cast_id': 95686, 'name': 'Dylan Sprouse', 'character': 'Travis Maddox'}, {'cast_id': 1279279, 'name': 'Virginia Gardner', 'character': 'Abby Abernathy'}, {'cast_id': 1449393, 'name': 'Austin North', 'character': 'Shepley Maddox'}, {'cast_id': 1524899, 'name': 'Libe Barer', 'character': 'America Mason'}, {'cast_id': 20960, 'name': 'Rob Estes', 'character': 'Benny'}]","[{'crew_id': 11873, 'name': 'Roger Kumble', 'department': 'Directing', 'job': 'Director'}]"
325358,"[{'cast_id': 1389848, 'name': 'Alex Ashbaugh', 'character': 'Officer Lucas White'}, {'cast_id': 1434794, 'name': 'Dale Pavinski', 'character': 'Vin Serento'}, {'cast_id': 210826, 'name': 'Andrea Navedo', 'character': 'Michelle'}, {'cast_id': 51999, 'name': 'Lili Mirojnick', 'character': 'Jordana'}, {'cast_id': 84754, 'name': 'Gonzalo Menendez', 'character': 'Detective Hanover'}]","[{'crew_id': 35694, 'name': 'Jason Friedberg', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 35734, 'name': 'Aaron Seltzer', 'department': 'Directing', 'job': 'Director'}]"
702621,"[{'cast_id': 566331, 'name': 'Oona Chaplin', 'character': 'Rachel'}, {'cast_id': 72985, 'name': 'Ramón Rodríguez', 'character': 'John'}, {'cast_id': 54817, 'name': 'Liane Balaban', 'character': 'Vivian'}, {'cast_id': 2298270, 'name': 'Moni Ogunsuyi', 'character': 'Clerk'}, {'cast_id': 1620297, 'name': 'Austin Ball', 'character': 'Aaron'}]","[{'crew_id': 26714, 'name': 'John R. Leonetti', 'department': 'Directing', 'job': 'Director'}]"
505642,"[{'cast_id': 1083010, 'name': 'Letitia Wright', 'character': 'Shuri / Black Panther'}, {'cast_id': 1267329, 'name': ""Lupita Nyong'o"", 'character': 'Nakia'}, {'cast_id': 82104, 'name': 'Danai Gurira', 'character': 'Okoye'}, {'cast_id': 1447932, 'name': 'Winston Duke', 'character': ""M'Baku""}, {'cast_id': 2133996, 'name': 'Dominique Thorne', 'character': 'Riri Williams / Ironheart'}]","[{'crew_id': 1056121, 'name': 'Ryan Coogler', 'department': 'Directing', 'job': 'Director'}]"
920125,"[{'cast_id': 3000374, 'name': 'Jack Harlow', 'character': 'Jeremy Crandall'}, {'cast_id': 967617, 'name': 'Sinqua Walls', 'character': 'Kamal Allen'}, {'cast_id': 1606394, 'name': 'Laura Harrier', 'character': 'Tatiana'}, {'cast_id': 964679, 'name': 'Teyana Taylor', 'character': 'Imani'}, {'cast_id': 129101, 'name': 'Lance Reddick', 'character': 'Benji Allen'}]","[{'crew_id': 2413451, 'name': 'Calmatic', 'department': 'Directing', 'job': 'Director'}]"
436270,"[{'cast_id': 18918, 'name': 'Dwayne Johnson', 'character': 'Black Adam / Teth Adam'}, {'cast_id': 83860, 'name': 'Aldis Hodge', 'character': 'Hawkman / Carter Hall'}, {'cast_id': 1253353, 'name': 'Noah Centineo', 'character': 'Atom Smasher / Al Rothstein'}, {'cast_id': 164945, 'name': 'Sarah Shahi', 'character': 'Adrianna Tomaz'}, {'cast_id': 2042690, 'name': 'Quintessa Swindell', 'character': 'Cyclone / Maxine Hunkel'}]","[{'crew_id': 59521, 'name': 'Jaume Collet-Serra', 'department': 'Directing', 'job': 'Director'}]"
785084,"[{'cast_id': 18269, 'name': 'Brendan Fraser', 'character': 'Charlie'}, {'cast_id': 1590797, 'name': 'Sadie Sink', 'character': 'Ellie'}, {'cast_id': 1360317, 'name': 'Hong Chau', 'character': 'Liz'}, {'cast_id': 17181, 'name': 'Ty Simpkins', 'character': 'Thomas'}, {'cast_id': 2206, 'name': 'Samantha Morton', 'character': 'Mary'}]","[{'crew_id': 6431, 'name': 'Darren Aronofsky', 'department': 'Directing', 'job': 'Director'}]"
638974,"[{'cast_id': 19292, 'name': 'Adam Sandler', 'character': 'Nick Spitz'}, {'cast_id': 4491, 'name': 'Jennifer Aniston', 'character': 'Audrey Spitz'}, {'cast_id': 2983, 'name': 'Mark Strong', 'character': 'Miller'}, {'cast_id': 19119, 'name': 'Mélanie Laurent', 'character': 'Claudette'}, {'cast_id': 1695989, 'name': 'Jodie Turner-Smith', 'character': 'Countess Sekou'}]","[{'crew_id': 59027, 'name': 'Jeremy Garelick', 'department': 'Directing', 'job': 'Director'}]"
649609,"[{'cast_id': 3292, 'name': 'Nicholas Hoult', 'character': 'Renfield'}, {'cast_id': 2963, 'name': 'Nicolas Cage', 'character': 'Dracula'}, {'cast_id': 1625558, 'name': 'Awkwafina', 'character': 'Rebecca Quincy'}, {'cast_id': 222121, 'name': 'Ben Schwartz', 'character': 'Teddy Lobo'}, {'cast_id': 21041, 'name': 'Shohreh Aghdashloo', 'character': 'Ella'}]","[{'crew_id': 144816, 'name': 'Chris McKay', 'department': 'Directing', 'job': 'Director'}]"
948713,"[{'cast_id': 1273309, 'name': 'Alexander Dreymon', 'character': 'Uhtred of Bebbanburg'}, {'cast_id': 1799858, 'name': 'Mark Rowley', 'character': 'Finan'}, {'cast_id': 1156305, 'name': 'Arnas Fedaravicius', 'character': 'Sihtric'}, {'cast_id': 1756015, 'name': 'Harry Gilby', 'character': 'Aethelstan'}, {'cast_id': 1800302, 'name': 'Laurie Davidson', 'character': 'Ingilmundr'}]","[{'crew_id': 213107, 'name': 'Edward Bazalgette', 'department': 'Directing', 'job': 'Director'}]"
1121116,"[{'cast_id': 5587, 'name': 'Hank Azaria', 'character': 'Chief Wiggum (voice)'}, {'cast_id': 1216346, 'name': 'Chris Edgerly', 'character': 'Additional Voices (voices)'}, {'cast_id': 87819, 'name': 'Dawnn Lewis', 'character': 'Additional Voices (voice)'}]","[{'crew_id': 197, 'name': 'David Silverman', 'department': 'Directing', 'job': 'Director'}]"
10144,"[{'cast_id': 63978, 'name': 'Jodi Benson', 'character': 'Ariel/Vanessa (voice)'}, {'cast_id': 67392, 'name': 'Samuel E. Wright', 'character': 'Sebastian (voice)'}, {'cast_id': 35232, 'name': 'Pat Carroll', 'character': 'Ursula (voice)'}, {'cast_id': 31468, 'name': 'Christopher Daniel Barnes', 'character': 'Prince Eric (voice)'}, {'cast_id': 9601, 'name': 'Kenneth Mars', 'character': 'King Triton (voice)'}]","[{'crew_id': 15810, 'name': 'Ron Clements', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 15811, 'name': 'John Musker', 'department': 'Directing', 'job': 'Director'}]"
700391,"[{'cast_id': 1023139, 'name': 'Adam Driver', 'character': 'Mills'}, {'cast_id': 1767250, 'name': 'Ariana Greenblatt', 'character': 'Koa'}, {'cast_id': 1696016, 'name': 'Chloe Coleman', 'character': 'Nevine'}, {'cast_id': 98415, 'name': 'Nika King', 'character': 'Alya'}, {'cast_id': 1450385, 'name': 'Brian Dare', 'character': 'Zoic Ship (voice) (uncredited)'}]","[{'crew_id': 1317685, 'name': 'Scott Beck', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 1317686, 'name': 'Bryan Woods', 'department': 'Directing', 'job': 'Director'}]"
