id,cast,crew
710832,"[{'cast_id': 970003, 'name': 'Roger Vernon', 'character': 'Presenter'}]","[{'crew_id': 2944693, 'name': 'David Glover', 'department': 'Directing', 'job': 'Director'}]"
680,"[{'cast_id': 8891, 'name': 'John Travolta', 'character': 'Vincent Vega'}, {'cast_id': 2231, 'name': 'Samuel L. Jackson', 'character': 'Jules Winnfield'}, {'cast_id': 139, 'name': 'Uma Thurman', 'character': 'Mia Wallace'}, {'cast_id': 62, 'name': 'Bruce Willis', 'character': 'Butch Coolidge'}, {'cast_id': 10182, 'name': 'Ving Rhames', 'character': 'Marsellus Wallace'}]","[{'crew_id': 138, 'name': 'Quentin Tarantino', 'department': 'Directing', 'job': 'Director'}]"
497,"[{'cast_id': 31, 'name': 'Tom Hanks', 'character': 'Paul Edgecomb'}, {'cast_id': 61981, 'name': 'Michael Clarke Duncan', 'character': 'John Coffey'}, {'cast_id': 52, 'name': 'David Morse', 'character': 'Brutus ""Brutal"" Howell'}, {'cast_id': 5149, 'name': 'Bonnie Hunt', 'character': 'Jan Edgecomb'}, {'cast_id': 2169, 'name': 'Michael Jeter', 'character': 'Eduard Delacroix'}]","[{'crew_id': 4027, 'name': 'Frank Darabont', 'department': 'Directing', 'job': 'Director'}]"
661286,"[{'cast_id': 1330888, 'name': 'Andy Bean', 'character': 'Self'}, {'cast_id': 83002, 'name': 'Jessica Chastain', 'character': 'Self'}, {'cast_id': 2501669, 'name': 'Marsha DeFilippo', 'character': 'Self'}, {'cast_id': 1774679, 'name': 'Jack Dylan Grazer', 'character': 'Self'}, {'cast_id': 19278, 'name': 'Bill Hader', 'character': 'Self'}]","[{'crew_id': 108657, 'name': 'Constantine Nasr', 'department': 'Directing', 'job': 'Director'}]"
769,"[{'cast_id': 11477, 'name': 'Ray Liotta', 'character': 'Henry Hill'}, {'cast_id': 380, 'name': 'Robert De Niro', 'character': 'James Conway'}, {'cast_id': 4517, 'name': 'Joe Pesci', 'character': 'Tommy DeVito'}, {'cast_id': 11478, 'name': 'Lorraine Bracco', 'character': 'Karen Hill'}, {'cast_id': 7004, 'name': 'Paul Sorvino', 'character': 'Paul Cicero'}]","[{'crew_id': 1032, 'name': 'Martin Scorsese', 'department': 'Directing', 'job': 'Director'}]"
860852,"[{'cast_id': 1172781, 'name': 'Major Dodson', 'character': 'Tyson Hollerman'}, {'cast_id': 51792, 'name': 'Rory Cochrane', 'character': 'Bobby Hollerman'}, {'cast_id': 20189, 'name': 'Amy Smart', 'character': 'Eloise Hollerman'}, {'cast_id': 2247348, 'name': 'Layla Felder', 'character': 'Shannon'}, {'cast_id': 1261694, 'name': 'Barkhad Abdi', 'character': 'Aklilu'}]","[{'crew_id': 1236704, 'name': 'Kim Bass', 'department': 'Directing', 'job': 'Director'}]"
122,"[{'cast_id': 109, 'name': 'Elijah Wood', 'character': 'Frodo'}, {'cast_id': 1327, 'name': 'Ian McKellen', 'character': 'Gandalf'}, {'cast_id': 882, 'name': 'Liv Tyler', 'character': 'Arwen'}, {'cast_id': 110, 'name': 'Viggo Mortensen', 'character': 'Aragorn'}, {'cast_id': 1328, 'name': 'Sean Astin', 'character': 'Sam'}]","[{'crew_id': 108, 'name': 'Peter Jackson', 'department': 'Directing', 'job': 'Director'}]"
664280,"[{'cast_id': 86543, 'name': 'David Attenborough', 'character': 'Self'}, {'cast_id': 3220263, 'name': 'Max Hughes', 'character': 'Young David'}]","[{'crew_id': 67589, 'name': 'Alastair Fothergill', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 227452, 'name': 'Keith Scholey', 'department': 'Directing', 'job': 'Director'}, {'crew_id': 2580331, 'name': 'Jonathan Hughes', 'department': 'Directing', 'job': 'Director'}]"
510,"[{'cast_id': 514, 'name': 'Jack Nicholson', 'character': 'Randle Patrick McMurphy'}, {'cast_id': 7071, 'name': 'Louise Fletcher', 'character': 'Nurse Mildred Ratched'}, {'cast_id': 518, 'name': 'Danny DeVito', 'character': 'Martini'}, {'cast_id': 7072, 'name': 'William Redfield', 'character': 'Dale Harding'}, {'cast_id': 7077, 'name': 'Scatman Crothers', 'character': 'Orderly Turkle'}]","[{'crew_id': 3974, 'name': 'Miloš Forman', 'department': 'Directing', 'job': 'Director'}]"
724089,"[{'cast_id': 1312450, 'name': 'Melanie Zanetti', 'character': 'Julia Mitchell'}, {'cast_id': 544002, 'name': 'Giulio Berruti', 'character': 'Gabriel Emerson'}, {'cast_id': 2345991, 'name': 'James Andrew Fraser', 'character': 'Paul Norris'}, {'cast_id': 2595115, 'name': 'Margaux Brooke', 'character': 'Christa Peterson'}, {'cast_id': 1188681, 'name': 'Agnes Albright', 'character': 'Paulina'}]","[{'crew_id': 935563, 'name': 'Tosca Musk', 'department': 'Directing', 'job': 'Director'}]"
