id,title,overview,genres,keywords
878183,The Independent,"It's the final weeks of the most consequential presidential election in history. America is poised to elect either its first female president or its first viable independent candidate. Reporting history as it's made, an idealistic young journalist teams up with her idol, legendary journalist Nick Booker, to uncover a conspiracy that places the fate of the election, and the country, in their hands.","[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'id': 417, 'name': 'corruption'}, {'id': 840, 'name': 'usa president'}]"
673,Harry Potter and the Prisoner of Azkaban,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.","[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 334, 'name': 'flying'}, {'id': 616, 'name': 'witch'}, {'id': 992, 'name': 'bus'}, {'id': 2052, 'name': 'traitor'}, {'id': 2343, 'name': 'magic'}, {'id': 2921, 'name': 'school friend'}, {'id': 3650, 'name': 'child hero'}, {'id': 3884, 'name': 'school of witchcraft'}, {'id': 4252, 'name': 'black magic'}, {'id': 4379, 'name': 'time travel'}, {'id': 6054, 'name': 'friendship'}, {'id': 10873, 'name': 'school'}, {'id': 12392, 'name': 'best friend'}, {'id': 12564, 'name': 'werewolf'}, {'id': 33784, 'name': 'muggle'}, {'id': 177912, 'name': 'wizard'}, {'id': 179430, 'name': 'aftercreditsstinger'}, {'id': 195269, 'name': 'magical creature'}, {'id': 200679, 'name': 'night bus'}, {'id': 206720, 'name': 'teenage life'}, {'id': 229184, 'name': 'school class'}, {'id': 246466, 'name': 'based on young adult novel'}, {'id': 249692, 'name': 'magic spell'}]"
744276,After Ever Happy,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.","[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 9673, 'name': 'love'}, {'id': 10791, 'name': 'teenage crush'}]"
575322,Project Gemini,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}]","[{'id': 10158, 'name': 'alien planet'}, {'id': 230857, 'name': 'alien creature'}, {'id': 281358, 'name': 'science fiction'}]"
646385,Scream,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.","[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 2013, 'name': 'attempted murder'}, {'id': 2546, 'name': 'mask'}, {'id': 3298, 'name': 'hallucination'}, {'id': 9826, 'name': 'murder'}, {'id': 10714, 'name': 'serial killer'}, {'id': 11612, 'name': 'hospital'}, {'id': 12339, 'name': 'slasher'}, {'id': 12570, 'name': 'whodunit'}, {'id': 17987, 'name': 'killing spree'}, {'id': 155808, 'name': 'hometown'}, {'id': 161184, 'name': 'reboot'}, {'id': 177695, 'name': 'crime spree'}, {'id': 207046, 'name': 'murder mystery'}, {'id': 220266, 'name': 'fandom'}, {'id': 220455, 'name': 'copycat killer'}, {'id': 234906, 'name': 'murder spree'}, {'id': 241738, 'name': 'sister sister relationship'}, {'id': 260905, 'name': 'retired cop'}, {'id': 283118, 'name': 'return to hometown'}]"
337404,Cruella,"In 1970s London amidst the punk rock revolution, a young grifter named Estella is determined to make a name for herself with her designs. She befriends a pair of young thieves who appreciate her appetite for mischief, and together they are able to build a life for themselves on the London streets. One day, Estella’s flair for fashion catches the eye of the Baroness von Hellman, a fashion legend who is devastatingly chic and terrifyingly haute. But their relationship sets in motion a course of events and revelations that will cause Estella to embrace her wicked side and become the raucous, fashionable and revenge-bent Cruella.","[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]","[{'id': 1228, 'name': '1970s'}, {'id': 2095, 'name': 'anti hero'}, {'id': 3289, 'name': 'villain'}, {'id': 4470, 'name': 'punk rock'}, {'id': 7024, 'name': 'fashion designer'}, {'id': 15479, 'name': 'fashion'}, {'id': 242214, 'name': 'origin story'}, {'id': 245230, 'name': 'live action remake'}]"
245891,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 2708, 'name': 'hitman'}, {'id': 3149, 'name': 'gangster'}, {'id': 3271, 'name': 'secret organization'}, {'id': 8045, 'name': 'russian mafia'}, {'id': 9748, 'name': 'revenge'}, {'id': 9826, 'name': 'murder'}, {'id': 15162, 'name': 'dog'}, {'id': 18115, 'name': 'retired'}, {'id': 33476, 'name': 'widower'}]"
7980,The Lovely Bones,"After being brutally murdered, 14-year-old Susie Salmon watches from heaven over her grief-stricken family -- and her killer. As she observes their daily lives, she must balance her thirst for revenge with her desire for her family to heal.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]","[{'id': 570, 'name': 'rape'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 818, 'name': 'based on novel or book'}, {'id': 1228, 'name': '1970s'}, {'id': 3352, 'name': 'tree'}, {'id': 6155, 'name': 'afterlife'}, {'id': 10714, 'name': 'serial killer'}, {'id': 13092, 'name': 'corpse'}, {'id': 14576, 'name': 'pedophile'}, {'id': 18425, 'name': 'teenage love'}, {'id': 172291, 'name': 'grieving'}, {'id': 184988, 'name': 'childhood sexual abuse'}, {'id': 246466, 'name': 'based on young adult novel'}]"
338958,Disenchanted,"Disillusioned with life in the city, feeling out of place in suburbia, and frustrated that her happily ever after hasn’t been so easy to find, Giselle turns to the magic of Andalasia for help. Accidentally transforming the entire town into a real-life fairy tale and placing her family’s future happiness in jeopardy, she must race against time to reverse the spell and determine what happily ever after truly means to her and her family.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 2343, 'name': 'magic'}, {'id': 3205, 'name': 'fairy tale'}, {'id': 4344, 'name': 'musical'}, {'id': 4896, 'name': 'wish'}, {'id': 7376, 'name': 'princess'}, {'id': 9663, 'name': 'sequel'}, {'id': 273980, 'name': 'streaming'}]"
337167,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 1664, 'name': 'eroticism'}, {'id': 9663, 'name': 'sequel'}, {'id': 158713, 'name': 'bdsm'}]"
